Episode Number,Pitch Number,Brand,Idea,Investment Amount (In Lakhs INR) ,Debt (In lakhs INR),Equity,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,Amit,Season,Anupam Mittal,Ashneer Grover,Namita Thapar,Aman Gupta,Peyush Bansal,Vineeta Singh,Ghazal Alagh,Amit Jain,Sharks
19,58,Ethik,Retail and Fashion,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
19,59,WeSTOCK,Agriculture,6000000,0,10%,N,Y,Y,Y,Y,N,N,N,1,,Ashneer Grover,Namita Thapar,Aman Gupta,Peyush Bansal,,,,
19,60,KetoIndia,Food and Beverages,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
19,61,Magic lock,Accessories,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
20,62,The State Plate,Food and Beverages,4000000,2500000,3%,N,N,N,N,Y,N,N,N,1,,,,,Peyush Bansal,,,,
20,63,Bakarmax,Social,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
20,64,IN A CAN,Food and Beverages,1000000,0,10%,Y,Y,Y,Y,Y,N,N,N,1,Anupam Mittal,Ashneer Grover,Namita Thapar,Aman Gupta,Peyush Bansal,,,,
21,65,Get a Whey,Food and Beverages,1000000,0,15%,N,Y,N,Y,N,Y,N,N,1,,Ashneer Grover,,Aman Gupta,,Vineeta Singh,,,
21,66,Sid07 Designs,Technology,2500000,2200000,75%,N,N,N,N,Y,N,N,N,1,,,,,Peyush Bansal,,,,
21,67,The Quirky Nari,Accessories,3500000,0,24%,Y,N,N,N,N,Y,N,N,1,Anupam Mittal,,,,,Vineeta Singh,,,
22,68,Hair Originals,Retail and Fashion,6000000,0,4%,Y,Y,N,N,Y,N,N,N,1,Anupam Mittal,Ashneer Grover,,,Peyush Bansal,,,,
22,69,Poo de Cologne,Accessories,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
22,70,Moonshine Meads,Accessories,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
22,71,Falhari,Food and Beverages,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
23,72,Namhya Foods,Food and Beverages,5000000,5000000,10%,N,N,N,Y,N,N,N,N,1,,,,Aman Gupta,,,,,
23,73,Urban Monkey,Retail and Fashion,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
23,74,Guardian Gears,Transportation,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
23,75,Modern Myth,Retail and Fashion,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
24,76,The Sass Bar,Accessories,5000000,0,35%,Y,N,N,N,N,N,Y,Y,1,Anupam Mittal,,,,,,Ghazal Alagh,Amit Jain,
24,77,KG Agrotech,Agriculture,1000000,2000000,40%,N,N,N,N,Y,N,N,N,1,,,,,Peyush Bansal,,,,
24,78,Nuskha Kitchen,Food and Beverages,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
25,79,PawsIndia,Accessories,5000000,0,15%,Y,N,N,N,N,N,N,N,1,Anupam Mittal,,,,,,,,
25,80,Sunfox Technologies,Health and Fitness,1000000,0,6%,Y,N,Y,N,Y,Y,Y,Y,1,Anupam Mittal,,Namita Thapar,,Peyush Bansal,Vineeta Singh,Ghazal Alagh,Amit Jain,
25,81,Alpino,Food and Beverages,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
26,82,Isak Fragrances,Retail and Fashion,5000000,0,50%,N,N,N,N,Y,N,N,N,1,,,,,Peyush Bansal,,,,
26,83,Julaa Automation,Accessories,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
26,84,Rare Planet,Accessories,6500000,0,30%,N,N,Y,N,N,N,N,N,1,,,Namita Thapar,,,,,,
27,85,Theka Coffee,Food and Beverages,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
27,86,Watt Technovations,Health and Fitness,1000000,0,4%,Y,N,Y,N,Y,N,Y,Y,1,Anupam Mittal,,Namita Thapar,,Peyush Bansal,,Ghazal Alagh,Amit Jain,
